S1,W1,L1,WINPCT1,RPI1,RPIRATE1,PTS1,PPG1,3FG1,3FGA1,AST1,TO1,ASTTORATIO1,APG1,BLKS1,BKPG1,DREBS1,DRPG1,FGM1,FGA1,FGPCT1,OPPFG1,OPPFGA1,OPPFGPCT1,FTA1,FTPCT1,OREBS1,ORPG1,GM1,FOULS1,PFPG1,DQ1,REB1,RPG1,OPPREB1,OPPRPG1,REBMAR1,OPPPTS1,OPPPPG1,SCRMAR1,ST1,STPG1,OPP3FGA1,OPP3FGPCT1,3PG1,OPPTO1,TORATIO1,TOPG1,S2,W2,L2,WINPCT2,RPI2,RPIRATE2,PTS2,PPG2,3FG2,3FGA2,AST2,TO2,ASTTORATIO2,APG2,BLKS2,BKPG2,DREBS2,DRPG2,FGM2,FGA2,FGPCT2,OPPFG2,OPPFGA2,OPPFGPCT2,FTA2,FTPCT2,OREBS2,ORPG2,GM2,FOULS2,PFPG2,DQ2,REB2,RPG2,OPPREB2,OPPRPG2,REBMAR2,OPPPTS2,OPPPPG2,SCRMAR2,ST2,STPG2,OPP3FGA2,OPP3FGPCT2,3PG2,OPPTO2,TORATIO2,TOPG2,T1RESULT
0.0625,0.8275862069,0.03703703704,0.9528193326,0.01400560224,0.9363636364,0.71899089,1,0.4715719064,0.4071942446,0.6418269231,0.2890365449,0.8333333333,0.8440366972,0.6129032258,0.696969697,0.7948113208,1,0.7975951904,0.5,1,0.3778801843,0.6193118757,0.04831176786,0.4710144928,0.6084412871,0.3920972644,0.4407265774,0.4545454545,0.2278820375,0.3106060606,0.1153846154,0.679245283,0.9367088608,0.2367972743,0.3144654088,0.95,0.3225270158,0.3468013468,1,0.3520599251,0.4210526316,0.3362218371,0.2884615385,0.5287356322,0.222972973,0.5147928994,0.3402061856,0.1875,0.8620689655,0.1851851852,0.83429229,0.02801120448,0.8909090909,0.8353188507,0.7740112994,0.652173913,0.5769784173,0.7307692308,0.4750830565,0.725,0.6972477064,0.3778801843,0.3333333333,0.7948113208,0.5948497854,0.8076152305,0.6516853933,0.8038084247,0.7580645161,0.8146503885,0.4170431054,0.8719806763,0.4951943168,0.7234042553,0.6156787763,0.9090909091,0.3378016086,0.2348484848,0.07692307692,0.8506289308,0.7594936709,0.3134582624,0.09433962264,1,0.6907730673,0.4646464646,0.7555555556,0.2172284644,0.1447368421,0.6932409012,0.4679487179,0.5632183908,0.1328828829,0.3431952663,0.3298969072,
0.1875,0.8620689655,0.1851851852,0.83429229,0.02801120448,0.8909090909,0.8353188507,0.7740112994,0.652173913,0.5769784173,0.7307692308,0.4750830565,0.725,0.6972477064,0.3778801843,0.3333333333,0.7948113208,0.5948497854,0.8076152305,0.6516853933,0.8038084247,0.7580645161,0.8146503885,0.4170431054,0.8719806763,0.4951943168,0.7234042553,0.6156787763,0.9090909091,0.3378016086,0.2348484848,0.07692307692,0.8506289308,0.7594936709,0.3134582624,0.09433962264,1,0.6907730673,0.4646464646,0.7555555556,0.2172284644,0.1447368421,0.6932409012,0.4679487179,0.5632183908,0.1328828829,0.3431952663,0.3298969072,0.0625,0.8275862069,0.03703703704,0.9528193326,0.01400560224,0.9363636364,0.71899089,1,0.4715719064,0.4071942446,0.6418269231,0.2890365449,0.8333333333,0.8440366972,0.6129032258,0.696969697,0.7948113208,1,0.7975951904,0.5,1,0.3778801843,0.6193118757,0.04831176786,0.4710144928,0.6084412871,0.3920972644,0.4407265774,0.4545454545,0.2278820375,0.3106060606,0.1153846154,0.679245283,0.9367088608,0.2367972743,0.3144654088,0.95,0.3225270158,0.3468013468,1,0.3520599251,0.4210526316,0.3362218371,0.2884615385,0.5287356322,0.222972973,0.5147928994,0.3402061856,1
0.0625,1,0.03703703704,0.9700805524,0.002801120448,0.9636363636,0.9488437281,0.9096045198,0.5418060201,0.5568345324,1,0.6445182724,0.8,1,0.7235023041,0.6666666667,1,0.8145922747,0.9579158317,0.8101123596,0.8188113099,0.7188940092,1,0.1104050226,0.9371980676,0.6439615545,0.7477203647,0.637667304,0.9090909091,0.5308310992,0.3939393939,0.1923076923,1,0.9367088608,0.5689948893,0.3710691824,0.9,0.6558603491,0.4208754209,0.8888888889,0.4831460674,0.4210526316,0.5632582322,0.4166666667,0.4597701149,0.3941441441,0.4556213018,0.4845360825,0.0625,0.8965517241,0.1481481481,0.8688147296,0,1,0.806587246,0.7401129944,0.4715719064,0.4676258993,0.6346153846,0.5681063123,0.575,0.5871559633,0.4792626728,0.4242424242,0.7099056604,0.5038626609,0.8356713427,0.7404494382,0.7328332372,0.7142857143,0.8157602664,0.3441543527,0.770531401,0.5867112411,0.7082066869,0.6013384321,0.9090909091,0.4772117962,0.3484848485,0.1153846154,0.786163522,0.6835443038,0.5195911414,0.3144654088,0.75,0.6733167082,0.4410774411,0.7333333333,0.4456928839,0.3815789474,0.452339688,0.25,0.3793103448,0.3941441441,0.4911242604,0.412371134,
0.0625,0.8965517241,0.1481481481,0.8688147296,0,1,0.806587246,0.7401129944,0.4715719064,0.4676258993,0.6346153846,0.5681063123,0.575,0.5871559633,0.4792626728,0.4242424242,0.7099056604,0.5038626609,0.8356713427,0.7404494382,0.7328332372,0.7142857143,0.8157602664,0.3441543527,0.770531401,0.5867112411,0.7082066869,0.6013384321,0.9090909091,0.4772117962,0.3484848485,0.1153846154,0.786163522,0.6835443038,0.5195911414,0.3144654088,0.75,0.6733167082,0.4410774411,0.7333333333,0.4456928839,0.3815789474,0.452339688,0.25,0.3793103448,0.3941441441,0.4911242604,0.412371134,0.0625,1,0.03703703704,0.9700805524,0.002801120448,0.9636363636,0.9488437281,0.9096045198,0.5418060201,0.5568345324,1,0.6445182724,0.8,1,0.7235023041,0.6666666667,1,0.8145922747,0.9579158317,0.8101123596,0.8188113099,0.7188940092,1,0.1104050226,0.9371980676,0.6439615545,0.7477203647,0.637667304,0.9090909091,0.5308310992,0.3939393939,0.1923076923,1,0.9367088608,0.5689948893,0.3710691824,0.9,0.6558603491,0.4208754209,0.8888888889,0.4831460674,0.4210526316,0.5632582322,0.4166666667,0.4597701149,0.3941441441,0.4556213018,0.4845360825,1
