S1,W1,L1,WINPCT1,RPI1,RPIRATE1,PTS1,PPG1,3FG1,3FGA1,AST1,TO1,ASTTORATIO1,APG1,BLKS1,BKPG1,DREBS1,DRPG1,FGM1,FGA1,FGPCT1,OPPFG1,OPPFGA1,OPPFGPCT1,FTA1,FTPCT1,OREBS1,ORPG1,GM1,FOULS1,PFPG1,DQ1,REB1,RPG1,OPPREB1,OPPRPG1,REBMAR1,OPPPTS1,OPPPPG1,SCRMAR1,ST1,STPG1,OPP3FGA1,OPP3FGPCT1,3PG1,OPPTO1,TORATIO1,TOPG1,S2,W2,L2,WINPCT2,RPI2,RPIRATE2,PTS2,PPG2,3FG2,3FGA2,AST2,TO2,ASTTORATIO2,APG2,BLKS2,BKPG2,DREBS2,DRPG2,FGM2,FGA2,FGPCT2,OPPFG2,OPPFGA2,OPPFGPCT2,FTA2,FTPCT2,OREBS2,ORPG2,GM2,FOULS2,PFPG2,DQ2,REB2,RPG2,OPPREB2,OPPRPG2,REBMAR2,OPPPTS2,OPPPPG2,SCRMAR2,ST2,STPG2,OPP3FGA2,OPP3FGPCT2,3PG2,OPPTO2,TORATIO2,TOPG2,T1RESULT
0.375,0.6667,0.3929,0.6803,0.0795,0.8065,0.6827,0.6032,0.4986,0.4146,0.619,0.5301,0.5655,0.5147,0.7246,0.6269,0.5656,0.4662,0.6183,0.5854,0.6034,0.6452,0.7651,0.4311,0.7412,0.4487,0.7822,0.754,0.8,0.5159,0.374,0.1522,0.7161,0.6698,0.5007,0.2297,0.7654,0.6114,0.3796,0.6558,0.3512,0.2771,0.5145,0.5641,0.419,0.3663,0.4295,0.3889,0.125,0.7778,0.25,0.796,0.0142,0.9167,0.6571,0.5688,0.545,0.4803,0.4451,0.149,0.731,0.3309,0.4025,0.3284,0.5625,0.4622,0.574,0.5134,0.6257,0.6232,0.7264,0.4491,0.6294,0.7265,0.3921,0.3342,0.8,0.3477,0.2114,0.087,0.532,0.4372,0.5178,0.2432,0.5473,0.5079,0.2917,0.7102,0.3043,0.2289,0.2632,0.4872,0.4571,0.3223,0.6154,0.0648,0
0.125,0.7778,0.25,0.796,0.0142,0.9167,0.6571,0.5688,0.545,0.4803,0.4451,0.149,0.731,0.3309,0.4025,0.3284,0.5625,0.4622,0.574,0.5134,0.6257,0.6232,0.7264,0.4491,0.6294,0.7265,0.3921,0.3342,0.8,0.3477,0.2114,0.087,0.532,0.4372,0.5178,0.2432,0.5473,0.5079,0.2917,0.7102,0.3043,0.2289,0.2632,0.4872,0.4571,0.3223,0.6154,0.0648,0.375,0.6667,0.3929,0.6803,0.0795,0.8065,0.6827,0.6032,0.4986,0.4146,0.619,0.5301,0.5655,0.5147,0.7246,0.6269,0.5656,0.4662,0.6183,0.5854,0.6034,0.6452,0.7651,0.4311,0.7412,0.4487,0.7822,0.754,0.8,0.5159,0.374,0.1522,0.7161,0.6698,0.5007,0.2297,0.7654,0.6114,0.3796,0.6558,0.3512,0.2771,0.5145,0.5641,0.419,0.3663,0.4295,0.3889,1
0.5,0.75,0.3571,0.7255,0.054,0.836,0.759,0.6032,0.2888,0.2993,0.4048,0.6476,0.3241,0.25,0.8644,0.7164,0.7266,0.5761,0.6805,0.6685,0.5922,0.6563,0.8488,0.3413,1,0.453,0.8838,0.799,0.9333,0.7068,0.4715,0.2826,0.8634,0.7581,0.5448,0.1937,0.8765,0.6743,0.3519,0.6819,0.3244,0.2169,0.4592,0.3654,0.2,0.4286,0.4231,0.4259,0.25,0.8056,0.1786,0.8501,0.0653,0.8226,0.762,0.7672,0.5204,0.4732,0.6282,0.3897,0.6828,0.5588,0.5975,0.5373,0.5063,0.4369,0.7455,0.6828,0.6927,0.386,0.5896,0.2515,0.7061,0.3632,0.7365,0.7345,0.7333,0.6864,0.5691,0.3043,0.6579,0.6419,0.6216,0.3694,0.6132,0.385,0.2245,0.9368,0.9298,0.8554,0.3342,0.1346,0.4571,0.8132,0.9359,0.2963,1
0.25,0.8056,0.1786,0.8501,0.0653,0.8226,0.762,0.7672,0.5204,0.4732,0.6282,0.3897,0.6828,0.5588,0.5975,0.5373,0.5063,0.4369,0.7455,0.6828,0.6927,0.386,0.5896,0.2515,0.7061,0.3632,0.7365,0.7345,0.7333,0.6864,0.5691,0.3043,0.6579,0.6419,0.6216,0.3694,0.6132,0.385,0.2245,0.9368,0.9298,0.8554,0.3342,0.1346,0.4571,0.8132,0.9359,0.2963,0.5,0.75,0.3571,0.7255,0.054,0.836,0.759,0.6032,0.2888,0.2993,0.4048,0.6476,0.3241,0.25,0.8644,0.7164,0.7266,0.5761,0.6805,0.6685,0.5922,0.6563,0.8488,0.3413,1,0.453,0.8838,0.799,0.9333,0.7068,0.4715,0.2826,0.8634,0.7581,0.5448,0.1937,0.8765,0.6743,0.3519,0.6819,0.3244,0.2169,0.4592,0.3654,0.2,0.4286,0.4231,0.4259,0
0.6875,0.6111,0.4286,0.6417,0.125,0.75,0.5952,0.5344,0.2943,0.3195,0.4524,0.3811,0.5241,0.3676,0.5932,0.5224,0.5531,0.5028,0.574,0.5372,0.5922,0.454,0.5968,0.3533,0.6177,0.6111,0.7324,0.7303,0.7333,0.4455,0.3415,0.2391,0.6851,0.6791,0.3698,0.1532,0.8395,0.4014,0.2384,0.732,0.3344,0.2771,0.2842,0.5128,0.2381,0.3755,0.5256,0.287,0.125,0.7222,0.2857,0.7607,0.0256,0.8763,0.6279,0.5794,0.6049,0.4843,0.5495,0.2579,0.731,0.4706,0.2373,0.194,0.4094,0.3002,0.5989,0.485,0.7263,0.6048,0.6364,0.5449,0.4083,0.7991,0.3755,0.3359,0.7333,0.2409,0.1382,0.1304,0.4293,0.3488,0.4353,0.2117,0.4979,0.4907,0.3171,0.6972,0.3311,0.2771,0.3842,0.3397,0.5333,0.3736,0.5962,0.1759,0
0.125,0.7222,0.2857,0.7607,0.0256,0.8763,0.6279,0.5794,0.6049,0.4843,0.5495,0.2579,0.731,0.4706,0.2373,0.194,0.4094,0.3002,0.5989,0.485,0.7263,0.6048,0.6364,0.5449,0.4083,0.7991,0.3755,0.3359,0.7333,0.2409,0.1382,0.1304,0.4293,0.3488,0.4353,0.2117,0.4979,0.4907,0.3171,0.6972,0.3311,0.2771,0.3842,0.3397,0.5333,0.3736,0.5962,0.1759,0.6875,0.6111,0.4286,0.6417,0.125,0.75,0.5952,0.5344,0.2943,0.3195,0.4524,0.3811,0.5241,0.3676,0.5932,0.5224,0.5531,0.5028,0.574,0.5372,0.5922,0.454,0.5968,0.3533,0.6177,0.6111,0.7324,0.7303,0.7333,0.4455,0.3415,0.2391,0.6851,0.6791,0.3698,0.1532,0.8395,0.4014,0.2384,0.732,0.3344,0.2771,0.2842,0.5128,0.2381,0.3755,0.5256,0.287,1
0.0625,0.9444,0.0714,0.9438,0.0028,0.9812,0.6233,0.4735,0.4305,0.4004,0.5201,0.5043,0.4966,0.3897,0.3644,0.2836,0.5719,0.4231,0.5989,0.5435,0.6313,0.4228,0.6085,0.2874,0.6424,0.3932,0.6266,0.5606,0.8667,0.4318,0.2602,0.1739,0.6473,0.5395,0.4879,0.1802,0.6955,0.38,0.1481,0.7691,0.6087,0.494,0.3789,0.4167,0.3333,0.6081,0.6603,0.3426,0.6875,0.6667,0.3571,0.7012,0.1051,0.7473,0.5947,0.5344,0.3978,0.3327,0.4762,0.5358,0.4414,0.3897,0.2712,0.2239,0.4781,0.3971,0.5851,0.5134,0.648,0.4908,0.5473,0.485,0.5748,0.4487,0.5519,0.531,0.7333,0.7159,0.6016,0.1522,0.5543,0.507,0.441,0.2162,0.6337,0.5407,0.3611,0.6166,0.4348,0.3735,0.3579,0.4295,0.3429,0.4853,0.5385,0.4167,1
0.6875,0.6667,0.3571,0.7012,0.1051,0.7473,0.5947,0.5344,0.3978,0.3327,0.4762,0.5358,0.4414,0.3897,0.2712,0.2239,0.4781,0.3971,0.5851,0.5134,0.648,0.4908,0.5473,0.485,0.5748,0.4487,0.5519,0.531,0.7333,0.7159,0.6016,0.1522,0.5543,0.507,0.441,0.2162,0.6337,0.5407,0.3611,0.6166,0.4348,0.3735,0.3579,0.4295,0.3429,0.4853,0.5385,0.4167,0.0625,0.9444,0.0714,0.9438,0.0028,0.9812,0.6233,0.4735,0.4305,0.4004,0.5201,0.5043,0.4966,0.3897,0.3644,0.2836,0.5719,0.4231,0.5989,0.5435,0.6313,0.4228,0.6085,0.2874,0.6424,0.3932,0.6266,0.5606,0.8667,0.4318,0.2602,0.1739,0.6473,0.5395,0.4879,0.1802,0.6955,0.38,0.1481,0.7691,0.6087,0.494,0.3789,0.4167,0.3333,0.6081,0.6603,0.3426,0
0.25,0.75,0.2857,0.7674,0.0682,0.8199,0.6965,0.6217,0.5722,0.4732,0.7546,0.5301,0.6828,0.6618,0.6017,0.5224,0.6594,0.5948,0.7082,0.625,0.7095,0.443,0.6571,0.2575,0.4564,0.5598,0.5415,0.4945,0.8,0.6818,0.5285,0.1957,0.6618,0.6,0.5121,0.2387,0.6996,0.55,0.3287,0.7211,0.5585,0.4699,0.5526,0.4295,0.4857,0.467,0.5192,0.3889,0.4375,0.8333,0.25,0.8082,0.071,0.8333,0.6981,0.5238,0.5177,0.4307,0.4817,0.5788,0.4207,0.3235,0.839,0.7015,0.6875,0.5256,0.6349,0.6274,0.5698,0.5551,0.8218,0.2275,0.5878,0.859,0.4959,0.4029,0.9333,0.6773,0.4472,0.2826,0.6579,0.5116,0.7539,0.3604,0.5103,0.5771,0.2731,0.6906,0.6321,0.494,0.5145,0.4167,0.4,0.5934,0.6026,0.3704,0
0.4375,0.8333,0.25,0.8082,0.071,0.8333,0.6981,0.5238,0.5177,0.4307,0.4817,0.5788,0.4207,0.3235,0.839,0.7015,0.6875,0.5256,0.6349,0.6274,0.5698,0.5551,0.8218,0.2275,0.5878,0.859,0.4959,0.4029,0.9333,0.6773,0.4472,0.2826,0.6579,0.5116,0.7539,0.3604,0.5103,0.5771,0.2731,0.6906,0.6321,0.494,0.5145,0.4167,0.4,0.5934,0.6026,0.3704,0.25,0.75,0.2857,0.7674,0.0682,0.8199,0.6965,0.6217,0.5722,0.4732,0.7546,0.5301,0.6828,0.6618,0.6017,0.5224,0.6594,0.5948,0.7082,0.625,0.7095,0.443,0.6571,0.2575,0.4564,0.5598,0.5415,0.4945,0.8,0.6818,0.5285,0.1957,0.6618,0.6,0.5121,0.2387,0.6996,0.55,0.3287,0.7211,0.5585,0.4699,0.5526,0.4295,0.4857,0.467,0.5192,0.3889,1
